StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,id
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,"Bitte geben Sie hier Ihre Studenten-ID an. Diese finden Sie auf Ihrer Legi. Bitte OHNE Bindestriche, Punkte oder Abstände eingeben. Beispiel: 18515864",Die Medien berichten oft zu alarmierend über Themen wie den Klimawandel.,"Es gibt zu viele widersprüchliche Beweise über den Klimawandel, um zu wissen, ob er tatsächlich stattfindet.",Die Beweise für den Klimawandel sind unzuverlässig.,"Es ist noch nicht klar, ob der Klimawandel wirklich ein Problem ist.",Der Klimawandel ist bloss eine natürliche Schwankung der Erdtemperaturen.,"Ich bin mir nicht sicher, ob der Klimawandel tatsächlich stattfindet.","Überschwemmungen und Hitzewellen nehmen nicht zu, heutzutage wird in den Medien einfach mehr darüber berichtet.","Die Behauptung, dass menschliche Aktivität das Klima verändert, ist übertrieben.","Ich glaube nicht, dass der Klimawandel ein echtes Problem ist.","Der Klimawandel ist unvorhersehbar und zu komplex, als dass Wissenschaftler nützliche Prognosen machen könnten.","Viele führende Experten sind sich noch nicht sicher, ob menschliche Aktivität zum Klimawandel beiträgt.",Es wird zu viel Aufhebens um den Klimawandel gemacht.,"Ich bin gerne im Freien, auch bei schlechtem Wetter.",Einige Tierarten sind einfach zum Aussterben bestimmt.,"Menschen haben das Recht, natürliche Ressourcen so zu nutzen, wie sie es wollen.",Mein Idealer Urlaubsort wäre eine abgelegene Wildnis.,"Ich denke immer daran, wie sich meine Handlungen auf die Umwelt auswirken.","Ich genieße es, in der Erde zu graben und mir meine Hände schmutzig zu machen.",Meine Verbindung zu Natur und Umwelt ist ein Teil meiner Spiritualität.,Ich habe ein großes Bewusstsein für Umweltthemen.,"Ich nehme die Tierwelt wahr, wo immer ich bin.",Ich gehe nicht oft in die Natur.,"Nichts, was ich tue, wird die Probleme an anderen Orten auf dem Planeten beeinflussen.","Ich bin nicht von der Natur abgetrennt, sondern ein Teil der Natur.","Der Gedanke, tief im Wald und abseits der Zivilisation zu sein, ist beängstigend.","Meine Gefühle für die Natur haben keinen Einfluss darauf, wie ich mein Leben lebe.","Tiere, Vögel und Pflanzen sollten weniger Rechte haben als Menschen.",Selbst mitten in der Stadt bemerke ich die Natur um mich herum.,Meine Beziehung zur Natur ist ein wichtiger Teil meiner Identität.,"Naturschutz ist überflüssig, weil die Natur stark genug ist, um sich von jeglichen menschlichen Einflüssen zu erholen.",Der Zustand nichtmenschlicher Arten ist ein Indikator für die Zukunft der Menschheit.,Ich denke oft über das Leiden der Tiere nach.,Ich fühle mich mit allen Lebewesen der Erde verbunden.,"Wir nähern uns dem Limit der Bevölkerungszahl, das die Erde bewältigen kann.","Die Menschen haben das Recht, ihre natürliche Umwelt zu verändern, um sie an ihre Bedürfnisse anzupassen.","Wenn die Menschen sich in die Natur einmischen, hat das oft katastrophale Konsequenzen.","Der menschliche Einfallsreichtum wird dafür sorgen, dass wir die Erde NICHT unbewohnbar machen.",Die Menschen missbrauchen die Umwelt schwer.,"Die Erde hätte genügend natürliche Ressourcen, wenn wir nur lernen, diese zu fördern.",Pflanzen und Tiere haben das gleiche Recht zu leben wie Menschen.,"Das Gleichgewicht der Natur ist stark genug, um den Einfluss der modernen Industrienationen zu bewältigen.",Abgesehen von unseren speziellen Fähigkeiten sind wir Menschen immer noch den Naturgesetzen unterworfen.,"Die so genannte “Umweltkrise” mit der die Menschheit konfrontiert ist, wird völlig übertrieben.",Die Erde ist wie ein Raumschiff mit wenig Platz und wenig Ressourcen.,"Menschen sind dazu geboren, über den Rest der Natur zu herrschen.","Das Gleichgewicht der Natur ist sehr empfindlich
und leicht zu stören.","Die Menschen werden möglicherweise genug darüber lernen, wie die Natur funktioniert, um sie kontrollieren zu können.","Wenn die Dinge so weitergehen wie bisher, werden wir bald eine große Umweltkatastrophe erleben.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Manchmal werfe ich Müll einfach in die Landschaft oder auf die Straße.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Eigene Fehler gebe ich stets offen zu und ertrage gelassen etwaige negative Konsequenzen.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Im Straßenverkehr nehme ich stets Rücksicht auf die anderen Verkehrsteilnehmer.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich habe schon einmal Drogen (Tabletten, Haschisch oder ""ähnliches"") konsumiert.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich akzeptiere alle anderen Meinungen, auch wenn sie mit meiner eigenen nicht übereinstimmen.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Meine Wut oder schlechte Laune lasse ich hin und wieder an unschuldigen oder schwächeren Leuten aus.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich habe schon einmal jemanden ausgenutzt oder übers Ohr gehauen.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - In einem Gespräch lasse ich den anderen stets ausreden und höre aufmerksam zu.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich zögere niemals, jemandem in einer Notlage beizustehen.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Wenn ich etwas versprochen habe, halte ich es ohne Wenn und Aber.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich lästere gelegentlich über andere hinter deren Rücken.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich würde niemals auf Kosten der Allgemeinheit leben.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich bleibe immer freundlich und zuvorkommend anderen Leuten gegenüber, auch wenn ich selbst gestreßt bin.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Im Streit bleibe ich stets sachlich und objektiv.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich habe schon einmal geliehene Sachen nicht zurückgegeben.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Ich ernähre mich stets gesund.","Bitte geben Sie an, ob folgende Aussagen auf Sie zutreffen. - Manchmal helfe ich nur, weil ich eine Gegenleistung erwarte.",id
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID44""}","{""ImportId"":""QID52""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID87_3""}","{""ImportId"":""QID87_19""}","{""ImportId"":""QID87_20""}","{""ImportId"":""QID87_21""}","{""ImportId"":""QID87_22""}","{""ImportId"":""QID87_23""}","{""ImportId"":""QID87_24""}","{""ImportId"":""QID87_26""}","{""ImportId"":""QID87_25""}","{""ImportId"":""QID87_11""}","{""ImportId"":""QID87_12""}","{""ImportId"":""QID87_13""}","{""ImportId"":""QID87_14""}","{""ImportId"":""QID87_15""}","{""ImportId"":""QID87_16""}","{""ImportId"":""QID87_17""}","{""ImportId"":""id""}"
2019-04-12 15:58:09,2019-04-12 15:59:23,1,,100,73,1,2019-04-12 15:59:23,R_9FdaRrEPPZjmImZ,,,,,46.9167022705078125,7.466705322265625,preview,DE,,1,1,4,3,2,4,1,1,1,1,1,1,3,3,3,3,2,5,3,2,2,4,3,4,5,3,4,2,5,3,1,1,4,2,2,5,2,1,1,2,3,4,2,4,5,3,1,1,,,,,,,,,,,,,,,,,,
2019-04-16 13:58:51,2019-04-16 14:27:51,0,130.92.255.36,100,1740,1,2019-04-16 14:27:52,R_29oIfq5VcPCNEbG,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,,3,1,3,4,3,3,2,3,3,2,5,5,3,2,4,2,2,3,3,2,2,3,2,1,1,2,1,1,4,3,3,1,4,4,5,4,4,5,4,4,5,5,4,4,1,4,5,4,,,,,,,,,,,,,,,,,,
2019-04-16 14:28:29,2019-04-16 14:29:37,0,130.92.255.36,100,67,1,2019-04-16 14:29:37,R_3KSAARKQwlyxEPr,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,,1,3,5,1,2,1,4,2,4,2,5,1,5,5,5,5,5,5,5,4,4,5,3,5,3,5,3,5,5,5,5,5,5,5,3,2,5,5,4,4,5,5,2,5,5,2,3,4,,,,,,,,,,,,,,,,,,
2019-04-23 19:37:18,2019-04-23 19:39:18,0,213.55.176.250,100,120,1,2019-04-23 19:39:20,R_32JTxghJDIcWyF4,,,,,46.802398681640625,7.15130615234375,anonymous,DE,,1,2,3,3,3,4,3,3,4,1,4,5,4,1,4,4,3,3,2,2,4,4,3,2,2,1,2,3,1,1,5,1,1,1,2,5,5,2,2,5,4,5,1,1,1,5,5,1,,,,,,,,,,,,,,,,,,875?
2019-04-23 19:51:40,2019-04-23 19:53:25,0,213.55.176.250,100,104,1,2019-04-23 19:53:25,R_1MZqkJTC649lUk6,,,,,46.802398681640625,7.15130615234375,anonymous,DE,,2,5,4,1,4,3,3,3,2,4,3,3,3,5,5,1,1,3,1,3,4,1,1,2,1,1,3,3,3,2,1,2,3,2,2,1,4,1,1,1,2,1,3,4,3,3,3,1,,,,,,,,,,,,,,,,,,875
2019-04-23 19:56:53,2019-04-23 19:58:17,0,213.55.176.250,100,83,1,2019-04-23 19:58:18,R_2TNQPiZWjNYFROy,,,,,46.802398681640625,7.15130615234375,anonymous,DE,,1,1,1,2,2,3,3,2,2,2,2,1,2,3,3,5,5,3,3,3,4,5,3,2,5,2,4,4,2,4,1,1,3,2,4,1,1,4,5,4,2,5,5,2,3,3,4,1,,,,,,,,,,,,,,,,,,875
2019-04-25 05:34:00,2019-04-25 05:39:36,0,201.164.154.254,100,335,1,2019-04-25 05:39:37,R_cCQjwpKMrb6nHb3,,,,,20.6667938232421875,-103.39260101318359375,anonymous,DE,,2,1,1,1,1,1,2,1,1,1,1,1,4,4,2,3,4,4,1,4,3,4,1,5,4,2,1,3,2,1,4,3,2,2,4,5,2,5,3,4,1,4,1,4,3,4,3,5,,,,,,,,,,,,,,,,,,jonas
2019-05-02 12:24:57,2019-05-02 12:30:22,0,130.92.255.35,100,324,1,2019-05-02 12:30:23,R_2Vl2DmDEp7G9w9D,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,4,5,4,3,5,5,4,1,5,2,1,1,4,5,1,5,2,3,5,4,5,2,5,4,5,1,5,1,4,1,5,1,5,,,,,,,,,,,,,,,,,,15119027
